UnitID,Institution Name,Carnegie Classification 2018: Basic (HD2019),Total assets (F1718_F2),Total net assets (F1718_F2),Total revenues and investment return - Total (F1718_F2),Total expenses-Total amount (F1718_F2),Total assets (F1617_F2_RV),Total net assets (F1617_F2_RV),Total revenues and investment return - Total (F1617_F2_RV),Total expenses-Total amount (F1617_F2_RV),
198950,Meredith College,21,198555048,131126269,65495801,58716979,191718614,124326065,70525254,56212672,
230959,Middlebury College,21,1617084000,1224620000,331986000,281681000,1570248000,1174315000,335023000,279050000,
175980,Millsaps College,21,174268620,133040225,43943938,39365799,170983208,128462086,52100597,40047006,
147341,Monmouth College,21,234415000,192469781,40273381,38985834,229008216,191182234,47878361,38766607,
214157,Moravian College,21,303417712,201090528,76364343,72277815,293312104,196063526,77475196,68030460,
140553,Morehouse College,21,335384111,256789545,91061831,87802450,330286285,253530164,95854218,88718904,
166939,Mount Holyoke College,21,1069102509,881910726,194221994,147958587,1030452477,834184737,207249651,144095874,
214175,Muhlenberg College,21,528205281,434940468,114734626,102898602,515244409,417594580,135910723,101648703,
262129,New College of Florida,21,,,,,,,,,
440396,New Saint Andrews College,21,,,,,,,,,
204501,Oberlin College,21,1401105975,1093284159,258003659,187247016,1341555390,1019132101,262427574,186817686,
120254,Occidental College,21,747026211,612524267,149711243,122484102,720295947,585841210,169719696,116996130,
140696,Oglethorpe University,21,118024107,99035262,46850661,27817745,97481569,80002346,35138668,26976652,
204909,Ohio Wesleyan University,21,406908034,356413713,86160018,74278585,396970390,343006724,94329062,70005827,
457484,Pacific Rim Christian University,21,727980,637105,1600515,1614596,858156,702261,1457385,1407389,
214731,Pennsylvania State University-Penn State Brandywine,21,,,,,,,,,
167455,Pine Manor College,21,27005411,16271229,17828722,18060119,27762036,16502626,18024922,17830621,
121257,Pitzer College,21,289752393,189328663,69904278,61682658,280229700,185296279,71933699,59843015,
121345,Pomona College,21,3056095000,2694722000,276314000,176206000,2923794000,2587152000,370278000,169082000,
218539,Presbyterian College,21,189307592,143736323,48298148,44964976,185994048,140403151,55390966,42920195,
148016,Principia College,21,592162922,557283775,61805846,46067785,575483734,538997431,71091110,42478401,
455770,Providence Christian College,21,3107047,630259,5642758,5758047,3225316,745548,6214398,5771587,
207157,Randall University,21,5722934,1720275,4563325,4562862,5964612,1719812,4356712,4367353,
233301,Randolph College,21,247206756,222745352,38644695,30549010,242260951,213848989,42173254,30395748,
233295,Randolph-Macon College,21,335454835,276827079,110521971,52933450,281425644,219238558,65598488,50494912,
209922,Reed College,21,826504586,661280613,137027518,96063813,757969054,624325758,136635059,92746830,
221351,Rhodes College,21,615049050,512561712,111123107,88461858,595290729,490676304,109619828,82338611,
239628,Ripon College,21,161366970,114911492,33254645,30515749,157965066,112958316,34920026,28952269,
233426,Roanoke College,21,300796989,240765211,80117404,68223390,292729835,228871197,76915138,66184838,
176318,Rust College,21,70380774,61643725,21013881,17106898,66401937,57734316,22729727,17453976,
183239,Saint Anselm College,21,310406957,206357106,92220313,81372840,299897605,195509633,98537767,76172989,
174792,Saint Johns University,21,419294392,365146790,96444538,75324577,404595868,344026829,103571314,72823859,
